,symbol,underlying_last,expire_date,expiry_type,dte,strike,strike_distance,strike_distance_pct,c_delta,c_gamma,c_vega,c_theta,c_rho,c_iv,c_volume,c_last,c_size,c_bid,c_ask,p_delta,p_gamma,p_vega,p_theta,p_rho,p_iv,p_volume,p_last,p_size,p_bid,p_ask
2023-10-02,SPX,4308.27,2023-10-06,Weekly,3.6,4290.0,-18.27,-0.004,0.51115,0.00036,81.90443,-0.77835,1.66355,0.25072,128.0,2156.03,2 x 4,1996.53,2328.28,-0.48885,0.00036,81.90443,-0.89172,-0.0,0.25406,140.0,1985.9,10 x 16,1835.19,2148.98
2023-10-02,SPX,4308.27,2023-10-06,Weekly,3.6,4300.0,-8.27,-0.002,0.50505,0.00041,81.90443,-0.69593,0.75507,0.22418,128.0,2154.95,3 x 7,1994.4,2328.42,-0.49495,0.00041,81.90443,-0.80957,-0.0,0.22486,114.0,1994.45,6 x 18,1844.13,2157.03
2023-10-02,SPX,4308.27,2023-10-06,Weekly,3.6,4310.0,1.73,0.0,0.49895,0.00042,81.90443,-0.6756,0.0,0.21763,117.0,2153.98,1 x 18,1992.37,2328.69,-0.50105,0.00042,81.90443,-0.78951,-0.15788,0.21766,150.0,2003.13,9 x 10,1853.2,2165.19
2023-10-02,SPX,4308.27,2023-10-06,Weekly,3.6,4320.0,11.73,0.003,0.49284,0.0004,81.90443,-0.71736,0.0,0.23108,112.0,2153.13,2 x 1,1990.46,2329.09,-0.50716,0.0004,81.90443,-0.83153,-1.07502,0.23246,148.0,2011.92,1 x 2,1862.39,2173.46
2023-10-02,SPX,4308.27,2023-10-06,Weekly,3.6,4330.0,21.73,0.005,0.48674,0.00035,81.90443,-0.82121,0.0,0.26453,133.0,2152.39,8 x 20,1988.66,2329.61,-0.51326,0.00035,81.90443,-0.93564,-1.99609,0.26925,148.0,2020.84,3 x 2,1871.7,2181.86
2023-10-02,SPX,4308.27,2023-10-06,Weekly,3.6,4340.0,31.73,0.007,0.48064,0.0003,81.90443,-0.98715,0.0,0.31798,146.0,2151.78,3 x 20,1986.97,2330.25,-0.51936,0.0003,81.90443,-1.10184,-2.9208,0.32805,137.0,2029.87,10 x 8,1881.12,2190.37
2023-10-02,SPX,4308.27,2023-10-06,Weekly,3.6,4350.0,41.73,0.01,0.47455,0.00024,81.90443,-1.21517,0.0,0.39144,160.0,2151.28,9 x 6,1985.4,2331.02,-0.52545,0.00024,81.90443,-1.33013,-3.84888,0.40885,138.0,2039.02,8 x 8,1890.67,2199.0
2023-10-02,SPX,4308.27,2023-10-06,Weekly,3.6,4360.0,51.73,0.012,0.46846,0.0002,81.90443,-1.50528,0.0,0.48489,145.0,2150.9,4 x 12,1983.93,2331.92,-0.53154,0.0002,81.90443,-1.62051,-4.78006,0.51164,128.0,2048.28,6 x 15,1900.34,2207.75
2023-10-02,SPX,4308.27,2023-10-06,Weekly,3.6,4370.0,61.73,0.014,0.46239,0.00016,81.90443,-1.85748,0.0,0.59834,156.0,2150.64,4 x 17,1982.58,2332.95,-0.53761,0.00016,81.90443,-1.97297,-5.71404,0.63644,149.0,2057.67,1 x 19,1910.12,2216.62
2023-10-02,SPX,4308.27,2023-10-06,Weekly,3.6,4380.0,71.73,0.017,0.45633,0.00013,81.90443,-2.27177,0.0,0.73179,127.0,2150.5,5 x 3,1981.34,2334.1,-0.54367,0.00013,81.90443,-2.38752,-6.65054,0.78324,128.0,2067.17,1 x 8,1920.02,2225.6
2023-10-02,SPX,4308.27,2023-10-06,Weekly,3.6,4390.0,81.73,0.019,0.45027,0.00011,81.90443,-2.74814,0.0,0.88524,149.0,2150.47,5 x 6,1980.22,2335.37,-0.54973,0.00011,81.90443,-2.86416,-7.58929,0.95204,116.0,2076.79,3 x 15,1930.04,2234.7
2023-10-02,SPX,4308.27,2023-10-06,Weekly,3.6,4400.0,91.73,0.021,0.44424,9e-05,81.90443,-3.2866,0.0,1.0587,157.0,2150.57,5 x 18,1979.2,2336.77,-0.55576,9e-05,81.90443,-3.40289,-8.53001,1.14283,124.0,2086.53,3 x 20,1940.18,2243.92
2023-10-02,SPX,4308.27,2023-10-21,Monthly,18.6,4100.0,-208.27,-0.048,0.55579,1e-05,185.87677,-6.26119,35.33174,4.57718,24.0,2204.59,4 x 18,2003.39,2425.99,-0.44421,1e-05,185.87677,-6.35445,-0.0,5.01096,26.0,1300.29,7 x 3,1169.77,1445.39
2023-10-02,SPX,4308.27,2023-10-21,Monthly,18.6,4125.0,-183.27,-0.043,0.54914,1e-05,185.87677,-4.92218,31.3097,3.59831,27.0,2197.55,7 x 8,1995.79,2419.71,-0.45086,1e-05,185.87677,-5.01601,-0.0,3.93421,28.0,1314.02,8 x 12,1182.82,1459.77
2023-10-02,SPX,4308.27,2023-10-21,Monthly,18.6,4150.0,-158.27,-0.037,0.54247,1e-05,185.87677,-3.75416,27.22502,2.74444,25.0,2190.78,6 x 5,1988.44,2413.71,-0.45753,1e-05,185.87677,-3.84856,-0.0,2.99495,27.0,1328.0,9 x 10,1196.12,1474.42
2023-10-02,SPX,4308.27,2023-10-21,Monthly,18.6,4175.0,-133.27,-0.031,0.53579,2e-05,185.87677,-2.75713,23.079,2.01557,32.0,2184.27,6 x 11,1981.33,2408.0,-0.46421,2e-05,185.87677,-2.85209,-0.0,2.19319,27.0,1342.25,9 x 13,1209.68,1489.34
2023-10-02,SPX,4308.27,2023-10-21,Monthly,18.6,4200.0,-108.27,-0.025,0.52909,3e-05,185.87677,-1.93109,18.87301,1.4117,32.0,2178.03,7 x 9,1974.47,2402.58,-0.47091,3e-05,185.87677,-2.02662,-0.0,1.52893,28.0,1356.76,4 x 18,1223.5,1504.53
2023-10-02,SPX,4308.27,2023-10-21,Monthly,18.6,4225.0,-83.27,-0.019,0.52239,4e-05,185.87677,-1.27603,14.60845,0.93283,26.0,2172.06,1 x 3,1967.86,2397.45,-0.47761,4e-05,185.87677,-1.37214,-0.0,1.00218,28.0,1371.54,2 x 7,1237.58,1520.01
2023-10-02,SPX,4308.27,2023-10-21,Monthly,18.6,4250.0,-58.27,-0.014,0.51567,7e-05,185.87677,-0.79197,10.28679,0.57896,31.0,2166.36,4 x 13,1961.5,2392.61,-0.48433,7e-05,185.87677,-0.88864,-0.0,0.61292,33.0,1386.6,7 x 17,1251.92,1535.76
2023-10-02,SPX,4308.27,2023-10-21,Monthly,18.6,4275.0,-33.27,-0.008,0.50895,0.00011,185.87677,-0.47889,5.90954,0.35009,25.0,2160.93,6 x 8,1955.39,2388.07,-0.49105,0.00011,185.87677,-0.57613,-0.0,0.36116,31.0,1401.93,6 x 1,1266.53,1551.8
2023-10-02,SPX,4308.27,2023-10-21,Monthly,18.6,4300.0,-8.27,-0.002,0.50223,0.00016,185.87677,-0.33681,1.47823,0.24622,31.0,2155.78,7 x 8,1949.55,2383.83,-0.49777,0.00016,185.87677,-0.43462,-0.0,0.24691,29.0,1417.53,10 x 14,1281.41,1568.12
2023-10-02,SPX,4308.27,2023-10-21,Monthly,18.6,4325.0,16.73,0.004,0.4955,0.00015,185.87677,-0.36571,0.0,0.26735,33.0,2150.91,8 x 9,1943.96,2379.89,-0.5045,0.00015,185.87677,-0.46409,-3.00555,0.27015,29.0,1433.42,6 x 10,1296.56,1584.73
2023-10-02,SPX,4308.27,2023-10-21,Monthly,18.6,4350.0,41.73,0.01,0.48878,0.0001,185.87677,-0.5656,0.0,0.41348,34.0,2146.32,7 x 4,1938.63,2376.25,-0.51122,0.0001,185.87677,-0.66455,-7.54016,0.43089,28.0,1449.58,8 x 20,1311.98,1601.62
2023-10-02,SPX,4308.27,2023-10-21,Monthly,18.6,4375.0,66.73,0.015,0.48206,6e-05,185.87677,-0.93649,0.0,0.68461,33.0,2142.01,8 x 20,1933.57,2372.92,-0.51794,6e-05,185.87677,-1.036,-12.12396,0.72913,26.0,1466.03,8 x 11,1327.67,1618.81
2023-10-02,SPX,4308.27,2023-10-21,Monthly,18.6,4400.0,91.73,0.021,0.47535,4e-05,185.87677,-1.47836,0.0,1.08074,24.0,2137.98,6 x 18,1928.77,2369.9,-0.52465,4e-05,185.87677,-1.57844,-16.75525,1.16488,32.0,1482.76,10 x 2,1343.64,1636.29
2023-10-02,SPX,4308.27,2023-10-21,Monthly,18.6,4425.0,116.73,0.027,0.46864,3e-05,185.87677,-2.19122,0.0,1.60187,35.0,2134.24,3 x 3,1924.23,2367.18,-0.53136,3e-05,185.87677,-2.29187,-21.43229,1.73812,31.0,1499.78,3 x 11,1359.88,1654.06
2023-10-02,SPX,4308.27,2023-10-21,Monthly,18.6,4450.0,141.73,0.033,0.46195,2e-05,185.87677,-3.07507,0.0,2.248,30.0,2130.79,7 x 10,1919.95,2364.77,-0.53805,2e-05,185.87677,-3.17629,-26.15334,2.44886,23.0,1517.07,10 x 7,1376.4,1672.12
2023-10-02,SPX,4308.27,2023-10-21,Monthly,18.6,4475.0,166.73,0.039,0.45527,1e-05,185.87677,-4.12991,0.0,3.01913,29.0,2127.61,6 x 8,1915.94,2362.67,-0.54473,1e-05,185.87677,-4.2317,-30.91662,3.2971,32.0,1534.66,5 x 3,1393.2,1690.48
2023-10-02,SPX,4308.27,2023-10-21,Monthly,18.6,4500.0,191.73,0.045,0.44861,1e-05,185.87677,-5.35574,0.0,3.91526,24.0,2124.73,9 x 11,1912.2,2360.89,-0.55139,1e-05,185.87677,-5.45809,-35.72032,4.28285,32.0,1552.53,1 x 4,1410.28,1709.13
2023-10-02,SPX,4296.29,2023-10-03,Daily,0.6,4250.0,-46.29,-0.011,0.56835,0.00048,33.65044,-3.166,1.74238,0.42135,159.0,2153.06,10 x 5,2013.76,2301.98,-0.43165,0.00048,33.65044,-3.28174,-0.0,0.44277,180.0,2081.2,4 x 5,1921.98,2253.6
2023-10-02,SPX,4296.29,2023-10-03,Daily,0.6,4255.0,-41.29,-0.01,0.56104,0.00054,33.65044,-2.83698,1.55798,0.37756,213.0,2152.23,8 x 3,2011.61,2302.67,-0.43896,0.00054,33.65044,-2.95286,-0.0,0.3946,183.0,2085.34,2 x 16,1927.1,2256.57
2023-10-02,SPX,4296.29,2023-10-03,Daily,0.6,4260.0,-36.29,-0.008,0.55371,0.00061,33.65044,-2.54553,1.37247,0.33877,207.0,2151.47,4 x 8,2009.53,2303.44,-0.44629,0.00061,33.65044,-2.66154,-0.0,0.35194,205.0,2089.55,5 x 1,1932.31,2259.59
2023-10-02,SPX,4296.29,2023-10-03,Daily,0.6,4265.0,-31.29,-0.007,0.54636,0.00068,33.65044,-2.29165,1.18593,0.30498,155.0,2150.78,8 x 16,2007.51,2304.29,-0.45364,0.00068,33.65044,-2.4078,-0.0,0.31477,175.0,2093.84,2 x 16,1937.59,2262.69
2023-10-02,SPX,4296.29,2023-10-03,Daily,0.6,4270.0,-26.29,-0.006,0.53898,0.00076,33.65044,-2.07534,0.99842,0.2762,193.0,2150.17,6 x 3,2005.55,2305.21,-0.46102,0.00076,33.65044,-2.19162,-0.0,0.28311,183.0,2098.19,4 x 14,1942.94,2265.85
2023-10-02,SPX,4296.29,2023-10-03,Daily,0.6,4275.0,-21.29,-0.005,0.53159,0.00084,33.65044,-1.8966,0.81003,0.25241,177.0,2149.63,6 x 19,2003.67,2306.22,-0.46841,0.00084,33.65044,-2.01302,-0.0,0.25694,160.0,2102.62,10 x 8,1948.38,2269.07
2023-10-02,SPX,4296.29,2023-10-03,Daily,0.6,4280.0,-16.29,-0.004,0.52418,0.00092,33.65044,-1.75543,0.62084,0.23362,183.0,2149.16,4 x 12,2001.85,2307.31,-0.47582,0.00092,33.65044,-1.87198,-0.0,0.23627,150.0,2107.12,3 x 4,1953.89,2272.37
2023-10-02,SPX,4296.29,2023-10-03,Daily,0.6,4285.0,-11.29,-0.003,0.51677,0.00099,33.65044,-1.65183,0.43093,0.21983,166.0,2148.77,6 x 4,2000.1,2308.48,-0.48323,0.00099,33.65044,-1.76852,-0.0,0.22111,208.0,2111.7,4 x 20,1959.48,2275.74
2023-10-02,SPX,4296.29,2023-10-03,Daily,0.6,4290.0,-6.29,-0.001,0.50934,0.00104,33.65044,-1.5858,0.24038,0.21104,150.0,2148.44,2 x 9,1998.42,2309.73,-0.49066,0.00104,33.65044,-1.70262,-0.0,0.21144,194.0,2116.35,9 x 11,1965.15,2279.18
2023-10-02,SPX,4296.29,2023-10-03,Daily,0.6,4295.0,-1.29,-0.0,0.50191,0.00107,33.65044,-1.55734,0.04929,0.20726,190.0,2148.2,9 x 16,1996.81,2311.06,-0.49809,0.00107,33.65044,-1.6743,-0.0,0.20727,202.0,2121.07,6 x 10,1970.89,2282.69
2023-10-02,SPX,4296.29,2023-10-03,Daily,0.6,4300.0,3.71,0.001,0.49448,0.00108,33.65044,-1.56645,0.0,0.20847,152.0,2148.02,6 x 11,1995.27,2312.47,-0.50552,0.00108,33.65044,-1.68355,-0.14227,0.20861,157.0,2125.86,5 x 7,1976.71,2286.27
2023-10-02,SPX,4296.29,2023-10-03,Daily,0.6,4305.0,8.71,0.002,0.48706,0.00106,33.65044,-1.61313,0.0,0.21468,195.0,2147.92,10 x 15,1993.8,2313.96,-0.51294,0.00106,33.65044,-1.73036,-0.33422,0.21544,221.0,2130.73,7 x 5,1982.61,2289.92
2023-10-02,SPX,4296.29,2023-10-03,Daily,0.6,4310.0,13.71,0.003,0.47964,0.00101,33.65044,-1.69738,0.0,0.22589,174.0,2147.89,1 x 12,1992.4,2315.52,-0.52036,0.00101,33.65044,-1.81475,-0.52646,0.22777,188.0,2135.68,7 x 10,1988.58,2293.65
2023-10-02,SPX,4296.29,2023-10-03,Daily,0.6,4315.0,18.71,0.004,0.47222,0.00095,33.65044,-1.8192,0.0,0.24211,178.0,2147.94,8 x 11,1991.08,2317.16,-0.52778,0.00095,33.65044,-1.93671,-0.71892,0.24561,215.0,2140.69,1 x 14,1994.63,2297.45
2023-10-02,SPX,4296.29,2023-10-03,Daily,0.6,4320.0,23.71,0.006,0.46482,0.00088,33.65044,-1.97859,0.0,0.26332,151.0,2148.06,5 x 3,1989.83,2318.88,-0.53518,0.00088,33.65044,-2.09623,-0.9115,0.26894,189.0,2145.78,9 x 15,2000.75,2301.33
2023-10-02,SPX,4296.29,2023-10-03,Daily,0.6,4325.0,28.71,0.007,0.45744,0.00081,33.65044,-2.17555,0.0,0.28953,151.0,2148.26,7 x 1,1988.65,2320.68,-0.54256,0.00081,33.65044,-2.29333,-1.10413,0.29778,163.0,2150.95,4 x 9,2006.95,2305.28
2023-10-02,SPX,4296.29,2023-10-03,Daily,0.6,4330.0,33.71,0.008,0.45007,0.00074,33.65044,-2.41008,0.0,0.32074,212.0,2148.53,2 x 1,1987.54,2322.55,-0.54993,0.00074,33.65044,-2.528,-1.29671,0.33211,217.0,2156.19,4 x 18,2013.22,2309.3
2023-10-02,SPX,4296.29,2023-10-03,Daily,0.6,4335.0,38.71,0.009,0.44273,0.00067,33.65044,-2.68218,0.0,0.35696,207.0,2148.87,6 x 4,1986.5,2324.5,-0.55727,0.00067,33.65044,-2.80024,-1.48917,0.37194,178.0,2161.5,7 x 12,2019.57,2313.41
2023-10-02,SPX,4296.29,2023-10-03,Daily,0.6,4340.0,43.71,0.01,0.43541,0.0006,33.65044,-2.99185,0.0,0.39817,184.0,2149.28,6 x 17,1985.54,2326.52,-0.56459,0.0006,33.65044,-3.11004,-1.68142,0.41728,180.0,2166.88,1 x 14,2025.98,2317.58
2023-10-02,SPX,4296.29,2023-10-03,Daily,0.6,4345.0,48.71,0.011,0.42812,0.00055,33.65044,-3.3391,0.0,0.44438,204.0,2149.77,2 x 12,1984.66,2328.61,-0.57188,0.00055,33.65044,-3.45742,-1.87338,0.46811,219.0,2172.34,6 x 8,2032.47,2321.83
2023-10-02,SPX,4296.29,2023-10-03,Daily,0.6,4350.0,53.71,0.013,0.42086,0.00049,33.65044,-3.72391,0.0,0.49559,186.0,2150.32,3 x 10,1983.84,2330.78,-0.57914,0.00049,33.65044,-3.84237,-2.06497,0.52444,179.0,2177.86,7 x 4,2039.02,2326.16
2023-10-02,SPX,4296.29,2023-10-06,Weekly,3.6,4200.0,-96.29,-0.022,0.55868,7e-05,81.66871,-3.5433,8.56642,1.14446,150.0,2162.52,3 x 14,2011.39,2325.0,-0.44132,7e-05,81.66871,-3.6543,-0.0,1.23717,117.0,1917.58,10 x 5,1764.31,2084.16
2023-10-02,SPX,4296.29,2023-10-06,Weekly,3.6,4210.0,-86.29,-0.02,0.55263,9e-05,81.66871,-2.97804,7.70202,0.96188,146.0,2160.53,3 x 2,2008.41,2324.17,-0.44737,9e-05,81.66871,-3.0893,-0.0,1.03634,138.0,1925.23,10 x 14,1772.34,2091.32
2023-10-02,SPX,4296.29,2023-10-06,Weekly,3.6,4220.0,-76.29,-0.018,0.54657,0.00011,81.66871,-2.4747,6.83111,0.79931,141.0,2158.65,10 x 6,2005.53,2323.46,-0.45343,0.00011,81.66871,-2.58622,-0.0,0.85751,162.0,1933.01,4 x 20,1780.48,2098.59
2023-10-02,SPX,4296.29,2023-10-06,Weekly,3.6,4230.0,-66.29,-0.015,0.54049,0.00013,81.66871,-2.03328,5.95396,0.65673,133.0,2156.89,8 x 5,2002.77,2322.88,-0.45951,0.00013,81.66871,-2.14507,-0.0,0.70067,110.0,1940.89,9 x 1,1788.75,2105.97
2023-10-02,SPX,4296.29,2023-10-06,Weekly,3.6,4240.0,-56.29,-0.013,0.53441,0.00016,81.66871,-1.65378,5.07081,0.53416,132.0,2155.24,5 x 2,2000.11,2322.42,-0.46559,0.00016,81.66871,-1.76583,-0.0,0.56584,140.0,1948.89,7 x 15,1797.13,2113.47
2023-10-02,SPX,4296.29,2023-10-06,Weekly,3.6,4250.0,-46.29,-0.011,0.52831,0.0002,81.66871,-1.3362,4.18191,0.43158,152.0,2153.71,7 x 4,1997.55,2322.08,-0.47169,0.0002,81.66871,-1.44852,-0.0,0.45301,133.0,1957.0,10 x 14,1805.63,2121.07
