,symbol,underlying_last,expire_date,expiry_type,dte,strike,strike_distance,strike_distance_pct,p_delta,p_gamma,p_vega,p_theta,p_rho,p_iv,p_volume,p_last,p_size,p_bid,p_ask,p_mid,p_spread
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4250.0,-46.29,-0.011,-0.47169,0.0002,81.66871,-1.44852,-0.0,0.45301,133.0,1957.0,10 x 14,1805.63,2121.07,1963.3500000000001,315.44000000000005
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4260.0,-36.29,-0.008,-0.4778,0.00026,81.66871,-1.19313,-0.0,0.36218,122.0,1965.23,4 x 7,1814.24,2128.79,1971.5149999999999,314.54999999999995
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4270.0,-26.29,-0.006,-0.48391,0.00031,81.66871,-0.99966,-0.0,0.29334,118.0,1973.58,4 x 3,1822.98,2136.63,1979.805,313.6500000000001
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4280.0,-16.29,-0.004,-0.49003,0.00037,81.66871,-0.86811,-0.0,0.24651,155.0,1982.05,2 x 12,1831.83,2144.58,1988.205,312.75
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4290.0,-6.29,-0.001,-0.49615,0.00041,81.66871,-0.79848,-0.0,0.22168,116.0,1990.63,10 x 10,1840.8,2152.65,1996.725,311.85000000000014
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4300.0,3.71,0.001,-0.50227,0.00042,81.66871,-0.79077,-0.33971,0.21884,163.0,1999.33,2 x 14,1849.9,2160.83,2005.365,310.92999999999984
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4310.0,13.71,0.003,-0.50839,0.00039,81.66871,-0.84498,-1.25758,0.23801,149.0,2008.15,4 x 12,1859.11,2169.13,2014.12,310.0200000000002
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4320.0,23.71,0.006,-0.51451,0.00034,81.66871,-0.96111,-2.17933,0.27918,156.0,2017.08,3 x 6,1868.44,2177.55,2022.9950000000001,309.1100000000001
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4330.0,33.71,0.008,-0.52063,0.00028,81.66871,-1.13917,-3.10468,0.34235,132.0,2026.14,8 x 6,1877.89,2186.09,2031.9900000000002,308.20000000000005
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4340.0,43.71,0.01,-0.52674,0.00023,81.66871,-1.37914,-4.03335,0.42751,153.0,2035.31,2 x 17,1887.46,2194.74,2041.1,307.27999999999975
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4350.0,53.71,0.013,-0.53284,0.00019,81.66871,-1.68104,-4.96506,0.53468,115.0,2044.6,1 x 8,1897.15,2203.51,2050.33,306.3600000000001
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4360.0,63.71,0.015,-0.53893,0.00015,81.66871,-2.04486,-5.89952,0.66385,132.0,2054.01,4 x 4,1906.96,2212.41,2059.685,305.4499999999998
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4370.0,73.71,0.017,-0.54501,0.00013,81.66871,-2.4706,-6.83645,0.81502,143.0,2063.54,8 x 15,1916.89,2221.42,2069.155,304.53
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4380.0,83.71,0.019,-0.55107,0.00011,81.66871,-2.95826,-7.77557,0.98818,132.0,2073.19,3 x 9,1926.94,2230.54,2078.74,303.5999999999999
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4390.0,93.71,0.022,-0.55712,9e-05,81.66871,-3.50784,-8.7166,1.18335,140.0,2082.96,5 x 7,1937.11,2239.79,2088.45,302.68000000000006
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4400.0,103.71,0.024,-0.56316,8e-05,81.66871,-4.11934,-9.65925,1.40052,127.0,2092.84,6 x 17,1947.39,2249.16,2098.275,301.76999999999975
2023-10-21,SPX,4296.29,2023-10-21,Monthly,18.6,4100.0,-196.29,-0.046,-0.44725,1e-05,185.35617,-5.67564,-0.0,4.47754,31.0,1302.93,10 x 6,1172.46,1447.92,1310.19,275.46000000000004
2023-10-21,SPX,4296.29,2023-10-21,Monthly,18.6,4125.0,-171.29,-0.04,-0.45393,1e-05,185.35617,-4.42266,-0.0,3.46671,32.0,1316.77,1 x 9,1185.62,1462.42,1324.02,276.8000000000002
2023-10-21,SPX,4296.29,2023-10-21,Monthly,18.6,4150.0,-146.29,-0.034,-0.46062,2e-05,185.35617,-3.34019,-0.0,2.59338,33.0,1330.87,2 x 2,1199.05,1477.2,1338.125,278.1500000000001
2023-10-21,SPX,4296.29,2023-10-21,Monthly,18.6,4175.0,-121.29,-0.028,-0.46733,2e-05,185.35617,-2.42824,-0.0,1.85755,23.0,1345.25,9 x 16,1212.73,1492.24,1352.4850000000001,279.51
2023-10-21,SPX,4296.29,2023-10-21,Monthly,18.6,4200.0,-96.29,-0.022,-0.47405,3e-05,185.35617,-1.6868,-0.0,1.25922,30.0,1359.88,2 x 2,1226.67,1507.57,1367.12,280.89999999999986
2023-10-21,SPX,4296.29,2023-10-21,Monthly,18.6,4225.0,-71.29,-0.017,-0.48078,5e-05,185.35617,-1.11588,-0.0,0.79838,32.0,1374.8,2 x 5,1240.87,1523.17,1382.02,282.3000000000002
2023-10-21,SPX,4296.29,2023-10-21,Monthly,18.6,4250.0,-46.29,-0.011,-0.48752,9e-05,185.35617,-0.71548,-0.0,0.47505,30.0,1389.98,7 x 4,1255.34,1539.06,1397.1999999999998,283.72
2023-10-21,SPX,4296.29,2023-10-21,Monthly,18.6,4275.0,-21.29,-0.005,-0.49426,0.00014,185.35617,-0.4856,-0.0,0.28922,25.0,1405.44,5 x 15,1270.08,1555.23,1412.655,285.1500000000001
2023-10-21,SPX,4296.29,2023-10-21,Monthly,18.6,4300.0,3.71,0.001,-0.501,0.00017,185.35617,-0.42623,-0.6651,0.24089,31.0,1421.18,5 x 16,1285.08,1571.69,1428.385,286.6100000000001
2023-10-21,SPX,4296.29,2023-10-21,Monthly,18.6,4325.0,28.71,0.007,-0.50774,0.00013,185.35617,-0.53738,-5.1735,0.33006,34.0,1437.2,7 x 9,1300.36,1588.44,1444.4,288.08000000000015
2023-10-21,SPX,4296.29,2023-10-21,Monthly,18.6,4350.0,53.71,0.013,-0.51448,8e-05,185.35617,-0.81904,-9.73208,0.55673,27.0,1453.5,7 x 2,1315.91,1605.48,1460.6950000000002,289.56999999999994
2023-10-21,SPX,4296.29,2023-10-21,Monthly,18.6,4375.0,78.71,0.018,-0.52122,5e-05,185.35617,-1.27122,-14.33915,0.92089,30.0,1470.09,1 x 10,1331.74,1622.81,1477.275,291.06999999999994
2023-10-21,SPX,4296.29,2023-10-21,Monthly,18.6,4400.0,103.71,0.024,-0.52795,3e-05,185.35617,-1.89392,-18.993,1.42256,24.0,1486.96,10 x 1,1347.84,1640.43,1494.135,292.59000000000015
2023-10-21,SPX,4296.29,2023-10-21,Monthly,18.6,4425.0,128.71,0.03,-0.53466,2e-05,185.35617,-2.68713,-23.69188,2.06173,33.0,1504.11,2 x 6,1364.23,1658.34,1511.2849999999999,294.1099999999999
2023-10-21,SPX,4296.29,2023-10-21,Monthly,18.6,4450.0,153.71,0.036,-0.54137,2e-05,185.35617,-3.65087,-28.43401,2.8384,27.0,1521.55,4 x 13,1380.88,1676.55,1528.7150000000001,295.66999999999985
2023-10-21,SPX,4296.29,2023-10-21,Monthly,18.6,4475.0,178.71,0.042,-0.54806,1e-05,185.35617,-4.78511,-33.21759,3.75257,29.0,1539.28,2 x 16,1397.82,1695.06,1546.44,297.24
2023-10-21,SPX,4296.29,2023-10-21,Monthly,18.6,4500.0,203.71,0.047,-0.55473,1e-05,185.35617,-6.08988,-38.04078,4.80424,31.0,1557.3,3 x 13,1415.04,1713.86,1564.4499999999998,298.81999999999994
