,symbol,underlying_last,expire_date,expiry_type,dte,strike,strike_distance,strike_distance_pct,c_delta,c_gamma,c_vega,c_theta,c_rho,c_iv,c_volume,c_last,c_size,c_bid,c_ask,c_mid,c_spread
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4250.0,-58.27,-0.014,0.53551,0.00016,81.90443,-1.72889,5.24743,0.55692,164.0,2161.55,2 x 19,2006.16,2328.97,2167.565,322.8099999999997
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4260.0,-48.27,-0.011,0.52944,0.0002,81.90443,-1.39812,4.35949,0.45037,117.0,2160.0,7 x 11,2003.59,2328.61,2166.1,325.0200000000002
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4270.0,-38.27,-0.009,0.52335,0.00024,81.90443,-1.12944,3.46602,0.36382,119.0,2158.56,9 x 8,2001.13,2328.38,2164.755,327.25
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4280.0,-28.27,-0.007,0.51725,0.0003,81.90443,-0.92285,2.56728,0.29727,121.0,2157.24,7 x 3,1998.77,2328.27,2163.52,329.5
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4290.0,-18.27,-0.004,0.51115,0.00036,81.90443,-0.77835,1.66355,0.25072,128.0,2156.03,2 x 4,1996.53,2328.28,2162.405,331.7500000000002
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4300.0,-8.27,-0.002,0.50505,0.00041,81.90443,-0.69593,0.75507,0.22418,128.0,2154.95,3 x 7,1994.4,2328.42,2161.41,334.02
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4310.0,1.73,0.0,0.49895,0.00042,81.90443,-0.6756,0.0,0.21763,117.0,2153.98,1 x 18,1992.37,2328.69,2160.5299999999997,336.32000000000016
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4320.0,11.73,0.003,0.49284,0.0004,81.90443,-0.71736,0.0,0.23108,112.0,2153.13,2 x 1,1990.46,2329.09,2159.775,338.6300000000001
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4330.0,21.73,0.005,0.48674,0.00035,81.90443,-0.82121,0.0,0.26453,133.0,2152.39,8 x 20,1988.66,2329.61,2159.135,340.95000000000005
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4340.0,31.73,0.007,0.48064,0.0003,81.90443,-0.98715,0.0,0.31798,146.0,2151.78,3 x 20,1986.97,2330.25,2158.61,343.28
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4350.0,41.73,0.01,0.47455,0.00024,81.90443,-1.21517,0.0,0.39144,160.0,2151.28,9 x 6,1985.4,2331.02,2158.21,345.6199999999999
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4360.0,51.73,0.012,0.46846,0.0002,81.90443,-1.50528,0.0,0.48489,145.0,2150.9,4 x 12,1983.93,2331.92,2157.925,347.99
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4370.0,61.73,0.014,0.46239,0.00016,81.90443,-1.85748,0.0,0.59834,156.0,2150.64,4 x 17,1982.58,2332.95,2157.765,350.3699999999999
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4380.0,71.73,0.017,0.45633,0.00013,81.90443,-2.27177,0.0,0.73179,127.0,2150.5,5 x 3,1981.34,2334.1,2157.72,352.76
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4390.0,81.73,0.019,0.45027,0.00011,81.90443,-2.74814,0.0,0.88524,149.0,2150.47,5 x 6,1980.22,2335.37,2157.795,355.14999999999986
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4400.0,91.73,0.021,0.44424,9e-05,81.90443,-3.2866,0.0,1.0587,157.0,2150.57,5 x 18,1979.2,2336.77,2157.985,357.56999999999994
2023-10-21,SPX,4308.27,2023-10-21,Monthly,18.6,4100.0,-208.27,-0.048,0.55579,1e-05,185.87677,-6.26119,35.33174,4.57718,24.0,2204.59,4 x 18,2003.39,2425.99,2214.69,422.5999999999997
2023-10-21,SPX,4308.27,2023-10-21,Monthly,18.6,4125.0,-183.27,-0.043,0.54914,1e-05,185.87677,-4.92218,31.3097,3.59831,27.0,2197.55,7 x 8,1995.79,2419.71,2207.75,423.9200000000001
2023-10-21,SPX,4308.27,2023-10-21,Monthly,18.6,4150.0,-158.27,-0.037,0.54247,1e-05,185.87677,-3.75416,27.22502,2.74444,25.0,2190.78,6 x 5,1988.44,2413.71,2201.075,425.27
2023-10-21,SPX,4308.27,2023-10-21,Monthly,18.6,4175.0,-133.27,-0.031,0.53579,2e-05,185.87677,-2.75713,23.079,2.01557,32.0,2184.27,6 x 11,1981.33,2408.0,2194.665,426.6700000000001
2023-10-21,SPX,4308.27,2023-10-21,Monthly,18.6,4200.0,-108.27,-0.025,0.52909,3e-05,185.87677,-1.93109,18.87301,1.4117,32.0,2178.03,7 x 9,1974.47,2402.58,2188.525,428.1099999999999
2023-10-21,SPX,4308.27,2023-10-21,Monthly,18.6,4225.0,-83.27,-0.019,0.52239,4e-05,185.87677,-1.27603,14.60845,0.93283,26.0,2172.06,1 x 3,1967.86,2397.45,2182.6549999999997,429.5899999999999
2023-10-21,SPX,4308.27,2023-10-21,Monthly,18.6,4250.0,-58.27,-0.014,0.51567,7e-05,185.87677,-0.79197,10.28679,0.57896,31.0,2166.36,4 x 13,1961.5,2392.61,2177.0550000000003,431.1100000000001
2023-10-21,SPX,4308.27,2023-10-21,Monthly,18.6,4275.0,-33.27,-0.008,0.50895,0.00011,185.87677,-0.47889,5.90954,0.35009,25.0,2160.93,6 x 8,1955.39,2388.07,2171.73,432.68000000000006
2023-10-21,SPX,4308.27,2023-10-21,Monthly,18.6,4300.0,-8.27,-0.002,0.50223,0.00016,185.87677,-0.33681,1.47823,0.24622,31.0,2155.78,7 x 8,1949.55,2383.83,2166.69,434.28
2023-10-21,SPX,4308.27,2023-10-21,Monthly,18.6,4325.0,16.73,0.004,0.4955,0.00015,185.87677,-0.36571,0.0,0.26735,33.0,2150.91,8 x 9,1943.96,2379.89,2161.925,435.92999999999984
2023-10-21,SPX,4308.27,2023-10-21,Monthly,18.6,4350.0,41.73,0.01,0.48878,0.0001,185.87677,-0.5656,0.0,0.41348,34.0,2146.32,7 x 4,1938.63,2376.25,2157.44,437.6199999999999
2023-10-21,SPX,4308.27,2023-10-21,Monthly,18.6,4375.0,66.73,0.015,0.48206,6e-05,185.87677,-0.93649,0.0,0.68461,33.0,2142.01,8 x 20,1933.57,2372.92,2153.245,439.35000000000014
2023-10-21,SPX,4308.27,2023-10-21,Monthly,18.6,4400.0,91.73,0.021,0.47535,4e-05,185.87677,-1.47836,0.0,1.08074,24.0,2137.98,6 x 18,1928.77,2369.9,2149.335,441.1300000000001
2023-10-21,SPX,4308.27,2023-10-21,Monthly,18.6,4425.0,116.73,0.027,0.46864,3e-05,185.87677,-2.19122,0.0,1.60187,35.0,2134.24,3 x 3,1924.23,2367.18,2145.705,442.9499999999998
2023-10-21,SPX,4308.27,2023-10-21,Monthly,18.6,4450.0,141.73,0.033,0.46195,2e-05,185.87677,-3.07507,0.0,2.248,30.0,2130.79,7 x 10,1919.95,2364.77,2142.36,444.81999999999994
2023-10-21,SPX,4308.27,2023-10-21,Monthly,18.6,4475.0,166.73,0.039,0.45527,1e-05,185.87677,-4.12991,0.0,3.01913,29.0,2127.61,6 x 8,1915.94,2362.67,2139.3050000000003,446.73
2023-10-21,SPX,4308.27,2023-10-21,Monthly,18.6,4500.0,191.73,0.045,0.44861,1e-05,185.87677,-5.35574,0.0,3.91526,24.0,2124.73,9 x 11,1912.2,2360.89,2136.545,448.6899999999998
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4250.0,-46.29,-0.011,0.56835,0.00048,33.65044,-3.166,1.74238,0.42135,159.0,2153.06,10 x 5,2013.76,2301.98,2157.87,288.22
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4255.0,-41.29,-0.01,0.56104,0.00054,33.65044,-2.83698,1.55798,0.37756,213.0,2152.23,8 x 3,2011.61,2302.67,2157.14,291.0600000000002
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4260.0,-36.29,-0.008,0.55371,0.00061,33.65044,-2.54553,1.37247,0.33877,207.0,2151.47,4 x 8,2009.53,2303.44,2156.485,293.9100000000001
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4265.0,-31.29,-0.007,0.54636,0.00068,33.65044,-2.29165,1.18593,0.30498,155.0,2150.78,8 x 16,2007.51,2304.29,2155.9,296.78
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4270.0,-26.29,-0.006,0.53898,0.00076,33.65044,-2.07534,0.99842,0.2762,193.0,2150.17,6 x 3,2005.55,2305.21,2155.38,299.6600000000001
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4275.0,-21.29,-0.005,0.53159,0.00084,33.65044,-1.8966,0.81003,0.25241,177.0,2149.63,6 x 19,2003.67,2306.22,2154.9449999999997,302.5499999999997
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4280.0,-16.29,-0.004,0.52418,0.00092,33.65044,-1.75543,0.62084,0.23362,183.0,2149.16,4 x 12,2001.85,2307.31,2154.58,305.46000000000004
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4285.0,-11.29,-0.003,0.51677,0.00099,33.65044,-1.65183,0.43093,0.21983,166.0,2148.77,6 x 4,2000.1,2308.48,2154.29,308.3800000000001
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4290.0,-6.29,-0.001,0.50934,0.00104,33.65044,-1.5858,0.24038,0.21104,150.0,2148.44,2 x 9,1998.42,2309.73,2154.075,311.30999999999995
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4295.0,-1.29,-0.0,0.50191,0.00107,33.65044,-1.55734,0.04929,0.20726,190.0,2148.2,9 x 16,1996.81,2311.06,2153.935,314.25
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4300.0,3.71,0.001,0.49448,0.00108,33.65044,-1.56645,0.0,0.20847,152.0,2148.02,6 x 11,1995.27,2312.47,2153.87,317.1999999999998
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4305.0,8.71,0.002,0.48706,0.00106,33.65044,-1.61313,0.0,0.21468,195.0,2147.92,10 x 15,1993.8,2313.96,2153.88,320.1600000000001
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4310.0,13.71,0.003,0.47964,0.00101,33.65044,-1.69738,0.0,0.22589,174.0,2147.89,1 x 12,1992.4,2315.52,2153.96,323.1199999999999
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4315.0,18.71,0.004,0.47222,0.00095,33.65044,-1.8192,0.0,0.24211,178.0,2147.94,8 x 11,1991.08,2317.16,2154.12,326.0799999999999
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4320.0,23.71,0.006,0.46482,0.00088,33.65044,-1.97859,0.0,0.26332,151.0,2148.06,5 x 3,1989.83,2318.88,2154.355,329.0500000000002
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4325.0,28.71,0.007,0.45744,0.00081,33.65044,-2.17555,0.0,0.28953,151.0,2148.26,7 x 1,1988.65,2320.68,2154.665,332.02999999999975
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4330.0,33.71,0.008,0.45007,0.00074,33.65044,-2.41008,0.0,0.32074,212.0,2148.53,2 x 1,1987.54,2322.55,2155.045,335.0100000000002
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4335.0,38.71,0.009,0.44273,0.00067,33.65044,-2.68218,0.0,0.35696,207.0,2148.87,6 x 4,1986.5,2324.5,2155.5,338.0
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4340.0,43.71,0.01,0.43541,0.0006,33.65044,-2.99185,0.0,0.39817,184.0,2149.28,6 x 17,1985.54,2326.52,2156.0299999999997,340.98
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4345.0,48.71,0.011,0.42812,0.00055,33.65044,-3.3391,0.0,0.44438,204.0,2149.77,2 x 12,1984.66,2328.61,2156.635,343.95000000000005
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4350.0,53.71,0.013,0.42086,0.00049,33.65044,-3.72391,0.0,0.49559,186.0,2150.32,3 x 10,1983.84,2330.78,2157.31,346.9400000000003
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4200.0,-96.29,-0.022,0.55868,7e-05,81.66871,-3.5433,8.56642,1.14446,150.0,2162.52,3 x 14,2011.39,2325.0,2168.195,313.6099999999999
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4210.0,-86.29,-0.02,0.55263,9e-05,81.66871,-2.97804,7.70202,0.96188,146.0,2160.53,3 x 2,2008.41,2324.17,2166.29,315.76
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4220.0,-76.29,-0.018,0.54657,0.00011,81.66871,-2.4747,6.83111,0.79931,141.0,2158.65,10 x 6,2005.53,2323.46,2164.495,317.93000000000006
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4230.0,-66.29,-0.015,0.54049,0.00013,81.66871,-2.03328,5.95396,0.65673,133.0,2156.89,8 x 5,2002.77,2322.88,2162.825,320.1100000000001
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4240.0,-56.29,-0.013,0.53441,0.00016,81.66871,-1.65378,5.07081,0.53416,132.0,2155.24,5 x 2,2000.11,2322.42,2161.265,322.3100000000002
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4250.0,-46.29,-0.011,0.52831,0.0002,81.66871,-1.3362,4.18191,0.43158,152.0,2153.71,7 x 4,1997.55,2322.08,2159.815,324.53
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4260.0,-36.29,-0.008,0.5222,0.00026,81.66871,-1.08055,3.28752,0.34901,136.0,2152.3,2 x 17,1995.11,2321.87,2158.49,326.76
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4270.0,-26.29,-0.006,0.51609,0.00031,81.66871,-0.88681,2.38789,0.28643,139.0,2151.0,10 x 8,1992.78,2321.78,2157.28,329.0000000000002
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4280.0,-16.29,-0.004,0.50997,0.00037,81.66871,-0.75499,1.4833,0.24386,151.0,2149.82,3 x 3,1990.55,2321.82,2156.185,331.2700000000002
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4290.0,-6.29,-0.001,0.50385,0.00041,81.66871,-0.6851,0.57401,0.22128,136.0,2148.75,9 x 7,1988.44,2321.99,2155.215,333.5499999999997
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4300.0,3.71,0.001,0.49773,0.00042,81.66871,-0.67713,0.0,0.21871,156.0,2147.81,6 x 19,1986.44,2322.28,2154.36,335.84000000000015
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4310.0,13.71,0.003,0.49161,0.00039,81.66871,-0.73108,0.0,0.23613,158.0,2146.98,2 x 11,1984.55,2322.7,2153.625,338.14999999999986
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4320.0,23.71,0.006,0.48549,0.00034,81.66871,-0.84695,0.0,0.27356,114.0,2146.27,7 x 19,1982.77,2323.24,2153.005,340.4699999999998
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4330.0,33.71,0.008,0.47937,0.00028,81.66871,-1.02474,0.0,0.33098,113.0,2145.68,6 x 20,1981.11,2323.92,2152.515,342.8100000000002
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4340.0,43.71,0.01,0.47326,0.00023,81.66871,-1.26445,0.0,0.40841,155.0,2145.21,9 x 8,1979.56,2324.72,2152.14,345.15999999999985
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4350.0,53.71,0.013,0.46716,0.00019,81.66871,-1.56608,0.0,0.50583,119.0,2144.85,7 x 16,1978.12,2325.64,2151.88,347.52
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4360.0,63.71,0.015,0.46107,0.00015,81.66871,-1.92963,0.0,0.62326,163.0,2144.62,10 x 1,1976.79,2326.69,2151.74,349.9000000000001
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4370.0,73.71,0.017,0.45499,0.00013,81.66871,-2.35511,0.0,0.76068,139.0,2144.5,6 x 3,1975.58,2327.87,2151.725,352.28999999999996
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4380.0,83.71,0.019,0.44893,0.00011,81.66871,-2.8425,0.0,0.91811,133.0,2144.5,4 x 5,1974.47,2329.17,2151.82,354.70000000000005
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4390.0,93.71,0.022,0.44288,9e-05,81.66871,-3.39182,0.0,1.09553,116.0,2144.62,2 x 8,1973.48,2330.6,2152.04,357.1199999999999
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4400.0,103.71,0.024,0.43684,8e-05,81.66871,-4.00306,0.0,1.29296,122.0,2144.86,8 x 11,1972.61,2332.15,2152.38,359.5400000000002
2023-10-21,SPX,4296.29,2023-10-21,Monthly,18.6,4100.0,-196.29,-0.046,0.55275,1e-05,185.35617,-5.58238,33.4057,4.09226,32.0,2195.21,8 x 2,1994.32,2416.34,2205.33,422.0200000000002
2023-10-21,SPX,4296.29,2023-10-21,Monthly,18.6,4125.0,-171.29,-0.04,0.54607,1e-05,185.35617,-4.32883,29.3548,3.17332,22.0,2188.3,2 x 1,1986.84,2410.19,2198.515,423.35000000000014
2023-10-21,SPX,4296.29,2023-10-21,Monthly,18.6,4150.0,-146.29,-0.034,0.53938,2e-05,185.35617,-3.24579,25.24168,2.37938,29.0,2181.65,2 x 19,1979.59,2404.32,2191.955,424.73000000000025
2023-10-21,SPX,4296.29,2023-10-21,Monthly,18.6,4175.0,-121.29,-0.028,0.53267,2e-05,185.35617,-2.33327,21.06768,1.71044,34.0,2175.26,5 x 13,1972.6,2398.74,2185.67,426.1399999999999
2023-10-21,SPX,4296.29,2023-10-21,Monthly,18.6,4200.0,-96.29,-0.022,0.52595,3e-05,185.35617,-1.59127,16.83419,1.1665,31.0,2169.14,4 x 14,1965.85,2393.46,2179.6549999999997,427.6100000000001
2023-10-21,SPX,4296.29,2023-10-21,Monthly,18.6,4225.0,-71.29,-0.017,0.51922,5e-05,185.35617,-1.01978,12.54266,0.74757,34.0,2163.3,3 x 19,1959.36,2388.46,2173.91,429.10000000000014
2023-10-21,SPX,4296.29,2023-10-21,Monthly,18.6,4250.0,-46.29,-0.011,0.51248,9e-05,185.35617,-0.61881,8.19457,0.45363,24.0,2157.73,1 x 6,1953.12,2383.77,2168.4449999999997,430.6500000000001
2023-10-21,SPX,4296.29,2023-10-21,Monthly,18.6,4275.0,-21.29,-0.005,0.50574,0.00014,185.35617,-0.38835,3.79146,0.28469,34.0,2152.43,5 x 10,1947.14,2379.37,2163.255,432.2299999999998
2023-10-21,SPX,4296.29,2023-10-21,Monthly,18.6,4300.0,3.71,0.001,0.499,0.00017,185.35617,-0.32842,0.0,0.24075,25.0,2147.42,2 x 18,1941.42,2375.27,2158.3450000000003,433.8499999999999
2023-10-21,SPX,4296.29,2023-10-21,Monthly,18.6,4325.0,28.71,0.007,0.49226,0.00013,185.35617,-0.439,0.0,0.32181,30.0,2142.68,10 x 3,1935.96,2371.48,2153.7200000000003,435.52
2023-10-21,SPX,4296.29,2023-10-21,Monthly,18.6,4350.0,53.71,0.013,0.48552,8e-05,185.35617,-0.72009,0.0,0.52788,25.0,2138.23,7 x 3,1930.76,2367.99,2149.375,437.2299999999998
2023-10-21,SPX,4296.29,2023-10-21,Monthly,18.6,4375.0,78.71,0.018,0.47878,5e-05,185.35617,-1.17171,0.0,0.85894,28.0,2134.05,8 x 13,1925.82,2364.81,2145.315,438.99
2023-10-21,SPX,4296.29,2023-10-21,Monthly,18.6,4400.0,103.71,0.024,0.47205,3e-05,185.35617,-1.79384,0.0,1.315,27.0,2130.17,5 x 17,1921.15,2361.93,2141.54,440.77999999999975
2023-10-21,SPX,4296.29,2023-10-21,Monthly,18.6,4425.0,128.71,0.03,0.46534,2e-05,185.35617,-2.58648,0.0,1.89606,28.0,2126.57,6 x 9,1916.74,2359.37,2138.055,442.6299999999999
2023-10-21,SPX,4296.29,2023-10-21,Monthly,18.6,4450.0,153.71,0.036,0.45863,2e-05,185.35617,-3.54964,0.0,2.60212,27.0,2123.25,1 x 5,1912.59,2357.11,2134.85,444.5200000000002
2023-10-21,SPX,4296.29,2023-10-21,Monthly,18.6,4475.0,178.71,0.042,0.45194,1e-05,185.35617,-4.68332,0.0,3.43319,24.0,2120.22,6 x 20,1908.72,2355.17,2131.945,446.45000000000005
2023-10-21,SPX,4296.29,2023-10-21,Monthly,18.6,4500.0,203.71,0.047,0.44527,1e-05,185.35617,-5.98752,0.0,4.38925,24.0,2117.48,10 x 6,1905.1,2353.54,2129.3199999999997,448.44000000000005
2023-10-03,SPX,4302.41,2023-10-03,Daily,0.6,4250.0,-52.41,-0.012,0.57719,0.00041,33.67934,-3.62742,1.96554,0.48179,195.0,2157.22,9 x 20,2019.33,2304.53,2161.9300000000003,285.2000000000003
2023-10-03,SPX,4302.41,2023-10-03,Daily,0.6,4255.0,-47.41,-0.011,0.56993,0.00046,33.67934,-3.25163,1.78271,0.43188,212.0,2156.31,9 x 6,2017.11,2305.12,2161.115,288.01
2023-10-03,SPX,4302.41,2023-10-03,Daily,0.6,4260.0,-42.41,-0.01,0.56263,0.00052,33.67934,-2.91349,1.59868,0.38697,187.0,2155.47,7 x 9,2014.94,2305.79,2160.365,290.8499999999999
